pair,freq_a,freq_b,omega_a,omega_b,gap,method,mean_rel_err,std_rel_err
24->25,24,25,26,27,1,identity,0.45872465,0.03062311
24->25,24,25,26,27,1,real_scalar,0.43016515,0.023318619
24->25,24,25,26,27,1,complex_scalar,0.29649338,0.016304915
24->25,24,25,26,27,1,diag_complex,0.28426667,0.017420636
24->25,24,25,26,27,1,full_linear,0.95448075,0.0068673258
22->27,22,27,24,29,5,identity,1.5599836,0.12040567
22->27,22,27,24,29,5,real_scalar,0.99777363,0.0044020732
22->27,22,27,24,29,5,complex_scalar,0.86921295,0.031187829
22->27,22,27,24,29,5,diag_complex,0.84117377,0.042689552
22->27,22,27,24,29,5,full_linear,0.97170963,0.0084190161
20->30,20,30,22,32,10,identity,1.8934405,0.2106619
20->30,20,30,22,32,10,real_scalar,0.99997138,0.00027919344
20->30,20,30,22,32,10,complex_scalar,0.9848106,0.0066803222
20->30,20,30,22,32,10,diag_complex,0.96964915,0.020933131
20->30,20,30,22,32,10,full_linear,0.98846651,0.0080467522
15->35,15,35,17,37,20,identity,2.6270878,0.35840323
15->35,15,35,17,37,20,real_scalar,0.99993946,0.00014502283
15->35,15,35,17,37,20,complex_scalar,0.99614882,0.0021008261
15->35,15,35,17,37,20,diag_complex,0.99461957,0.010930451
15->35,15,35,17,37,20,full_linear,0.99496835,0.012454065
5->45,5,45,7,47,40,identity,6.489115,1.2548052
5->45,5,45,7,47,40,real_scalar,0.99994786,0.00036637641
5->45,5,45,7,47,40,complex_scalar,0.99913237,0.0011716068
5->45,5,45,7,47,40,diag_complex,1.0003388,0.0073392066
5->45,5,45,7,47,40,full_linear,0.99916515,0.019558599
