gap,method,mean,std,count
1,identity,0.4549867,0.034379762,50
1,real_scalar,0.42365424,0.030133806,50
1,complex_scalar,0.27659468,0.021888434,50
1,diag_complex,0.25701036,0.031823997,50
2,identity,0.85254613,0.065817794,49
2,real_scalar,0.72614564,0.031514513,49
2,complex_scalar,0.50269853,0.031774362,49
2,diag_complex,0.47089761,0.049689404,49
3,identity,1.1636979,0.11234605,48
3,real_scalar,0.89247693,0.018128004,48
3,complex_scalar,0.6651486,0.029722865,48
3,diag_complex,0.62805156,0.052375677,48
4,identity,1.4007452,0.17180979,47
4,real_scalar,0.967895,0.0075651238,47
4,complex_scalar,0.77740653,0.021647568,47
4,diag_complex,0.73902229,0.045906044,47
5,identity,1.581225,0.23085493,46
5,real_scalar,0.99462582,0.0025641451,46
5,complex_scalar,0.8565828,0.013441615,46
5,diag_complex,0.81915816,0.037190506,46
6,identity,1.7136275,0.28813794,45
6,real_scalar,0.99983743,0.00052617021,45
6,complex_scalar,0.91290154,0.0087771775,45
6,diag_complex,0.87827143,0.03032359,45
7,identity,1.8032239,0.34411369,44
7,real_scalar,0.99960797,0.00035365909,44
7,complex_scalar,0.94970284,0.0059659436,44
7,diag_complex,0.91973285,0.024749067,44
8,identity,1.8632967,0.38842211,43
8,real_scalar,0.99962164,0.00050811633,43
8,complex_scalar,0.96969411,0.0035240318,43
8,diag_complex,0.94545734,0.018990577,43
9,identity,1.916679,0.42610943,42
9,real_scalar,0.99977884,0.00036737049,42
9,complex_scalar,0.97841211,0.0025617993,42
9,diag_complex,0.95956643,0.013773445,42
10,identity,1.9814678,0.47986694,41
10,real_scalar,0.99975277,0.00034771895,41
10,complex_scalar,0.98169857,0.0022551155,41
10,diag_complex,0.96691283,0.010504613,41
11,identity,2.0567389,0.53121371,40
11,real_scalar,0.99969145,0.00030977942,40
11,complex_scalar,0.98337299,0.0018112401,40
11,diag_complex,0.97109765,0.0092137176,40
12,identity,2.1381111,0.56480077,39
12,real_scalar,0.99959952,0.00050255924,39
12,complex_scalar,0.98527826,0.0014657485,39
12,diag_complex,0.97430802,0.0091978698,39
13,identity,2.2282338,0.61623071,38
13,real_scalar,0.99945162,0.00071376085,38
13,complex_scalar,0.98792254,0.0011872979,38
13,diag_complex,0.9778015,0.0093890504,38
14,identity,2.3209117,0.68561229,37
14,real_scalar,0.99940688,0.00072107135,37
14,complex_scalar,0.99075768,0.0010030493,37
14,diag_complex,0.98184989,0.0087013875,37
15,identity,2.4063352,0.73021947,36
15,real_scalar,0.99950175,0.00062320046,36
15,complex_scalar,0.99300532,0.00074270618,36
15,diag_complex,0.98569312,0.0072976746,36
16,identity,2.4931771,0.76290701,35
16,real_scalar,0.99964007,0.0004526303,35
16,complex_scalar,0.99441748,0.00059990279,35
16,diag_complex,0.9886118,0.0059889996,35
17,identity,2.5946927,0.83542121,34
17,real_scalar,0.99973369,0.00030783672,34
17,complex_scalar,0.99513663,0.00057216547,34
17,diag_complex,0.99054361,0.0049478817,34
18,identity,2.7019446,0.90848984,33
18,real_scalar,0.99976717,0.00027721976,33
18,complex_scalar,0.99544185,0.00046571789,33
18,diag_complex,0.99175093,0.0040753169,33
19,identity,2.8125425,0.95467626,32
19,real_scalar,0.9997742,0.0002904255,32
19,complex_scalar,0.99562242,0.00032170439,32
19,diag_complex,0.99254583,0.0033183006,32
20,identity,2.9386448,1.0298825,31
20,real_scalar,0.99977554,0.0002808957,31
20,complex_scalar,0.99591305,0.00032095986,31
20,diag_complex,0.99320283,0.0027190914,31
21,identity,3.0735932,1.1260957,30
21,real_scalar,0.99977382,0.00027463887,30
21,complex_scalar,0.99635706,0.00036853378,30
21,diag_complex,0.99383511,0.0024642367,30
22,identity,3.2055664,1.1913241,29
22,real_scalar,0.9997741,0.00028147803,29
22,complex_scalar,0.99687693,0.00033784594,29
22,diag_complex,0.99444332,0.0024893024,29
23,identity,3.3449516,1.2555776,28
23,real_scalar,0.99980305,0.00025003083,28
23,complex_scalar,0.99738102,0.00030106971,28
23,diag_complex,0.99503006,0.0025034927,28
24,identity,3.4987529,1.3646756,27
24,real_scalar,0.99985913,0.0001719762,27
24,complex_scalar,0.99777073,0.00034417014,27
24,diag_complex,0.99556158,0.0024295091,27
