freq_a,freq_b,gap,omega_a,omega_b,method,mean_rel_err
0,1,1,2,3,identity,0.57951709
0,1,1,2,3,real_scalar,0.36462254
0,1,1,2,3,complex_scalar,0.25582827
0,1,1,2,3,diag_complex,0.18359191
0,2,2,2,4,identity,1.1516786
0,2,2,2,4,real_scalar,0.65230973
0,2,2,2,4,complex_scalar,0.45289232
0,2,2,2,4,diag_complex,0.33810332
0,3,3,2,5,identity,1.7165979
0,3,3,2,5,real_scalar,0.8408984
0,3,3,2,5,complex_scalar,0.5931409
0,3,3,2,5,diag_complex,0.4634759
0,4,4,2,6,identity,2.2352345
0,4,4,2,6,real_scalar,0.94841167
0,4,4,2,6,complex_scalar,0.70772364
0,4,4,2,6,diag_complex,0.57993789
0,5,5,2,7,identity,2.6640005
0,5,5,2,7,real_scalar,0.99444572
0,5,5,2,7,complex_scalar,0.81536327
0,5,5,2,7,diag_complex,0.69540977
0,6,6,2,8,identity,3.05496
0,6,6,2,8,real_scalar,1.0001896
0,6,6,2,8,complex_scalar,0.90009593
0,6,6,2,8,diag_complex,0.78615616
0,7,7,2,9,identity,3.4296302
0,7,7,2,9,real_scalar,0.99927381
0,7,7,2,9,complex_scalar,0.94505142
0,7,7,2,9,diag_complex,0.8398749
0,8,8,2,10,identity,3.6586082
0,8,8,2,10,real_scalar,0.99906289
0,8,8,2,10,complex_scalar,0.96743583
0,8,8,2,10,diag_complex,0.87724085
0,9,9,2,11,identity,3.7757189
0,9,9,2,11,real_scalar,0.99969434
0,9,9,2,11,complex_scalar,0.98171969
0,9,9,2,11,diag_complex,0.90984635
0,10,10,2,12,identity,4.098006
0,10,10,2,12,real_scalar,1.000472
0,10,10,2,12,complex_scalar,0.98646835
0,10,10,2,12,diag_complex,0.93167162
0,11,11,2,13,identity,4.4447424
0,11,11,2,13,real_scalar,1.0003224
0,11,11,2,13,complex_scalar,0.98423829
0,11,11,2,13,diag_complex,0.9425572
0,12,12,2,14,identity,4.5446675
0,12,12,2,14,real_scalar,0.99970996
0,12,12,2,14,complex_scalar,0.98245379
0,12,12,2,14,diag_complex,0.94649175
0,13,13,2,15,identity,4.7685559
0,13,13,2,15,real_scalar,0.99784139
0,13,13,2,15,complex_scalar,0.98609242
0,13,13,2,15,diag_complex,0.94673392
0,14,14,2,16,identity,5.2416336
0,14,14,2,16,real_scalar,0.99808265
0,14,14,2,16,complex_scalar,0.9912161
0,14,14,2,16,diag_complex,0.95199407
0,15,15,2,17,identity,5.4823114
0,15,15,2,17,real_scalar,0.99881708
0,15,15,2,17,complex_scalar,0.99348965
0,15,15,2,17,diag_complex,0.96253245
0,16,16,2,18,identity,5.4910732
0,16,16,2,18,real_scalar,0.99902786
0,16,16,2,18,complex_scalar,0.99527076
0,16,16,2,18,diag_complex,0.97055241
0,17,17,2,19,identity,5.8745835
0,17,17,2,19,real_scalar,0.999415
0,17,17,2,19,complex_scalar,0.99654907
0,17,17,2,19,diag_complex,0.9757382
0,18,18,2,20,identity,6.3166464
0,18,18,2,20,real_scalar,0.99974659
0,18,18,2,20,complex_scalar,0.99666851
0,18,18,2,20,diag_complex,0.97950954
0,19,19,2,21,identity,6.4231545
0,19,19,2,21,real_scalar,0.99971103
0,19,19,2,21,complex_scalar,0.99610426
0,19,19,2,21,diag_complex,0.98215362
0,20,20,2,22,identity,6.7372397
0,20,20,2,22,real_scalar,0.99919784
0,20,20,2,22,complex_scalar,0.99625597
0,20,20,2,22,diag_complex,0.9846942
0,21,21,2,23,identity,7.3124129
0,21,21,2,23,real_scalar,0.99919806
0,21,21,2,23,complex_scalar,0.99705335
0,21,21,2,23,diag_complex,0.98770642
0,22,22,2,24,identity,7.5999182
0,22,22,2,24,real_scalar,0.99933769
0,22,22,2,24,complex_scalar,0.99757366
